USER_ID,ORDER_ID,PURCHASE_TS,PURCHASE_TS_CLEANED,SHIP_TS,PURCHASE_YEAR,PURCHASE_MONTH,TIME_TO_SHIP,PRODUCT_NAME,PRODUCT_NAME_CLEANED,PRODUCT_ID,USD_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,MARKETING_CHANNEL_CLEANED,ACCOUNT_CREATION_METHOD,ACCOUNT_CREATION_METHOD_CLEANED,COUNTRY_CODE,REGION
1cd9f372,00847ae8fe214786,7/2/2020,7/2/2020,6/17/2020,2020,7,-15,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
3b36f3e4,0085ba4831e26979,8/10/2020,8/10/2020,5/8/2020,2020,8,-94,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$25.67 ,website,direct,direct,desktop,desktop,GB,EMEA
f15289db,00871b8548a101993,5/16/2020,5/16/2020,12/27/2019,2020,5,-141,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,US,NA
38e64dc5,00892ce0ebd26044,2/1/2020,2/1/2020,10/16/2019,2020,2,-108,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,BR,LATAM
926c7df9,008a0fca3a862127,9/27/2019,9/27/2019,9/21/2019,2019,9,-6,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.99 ,website,direct,direct,desktop,desktop,IL,EMEA
926c7df9,008a0fca3a862128,9/27/2019,9/27/2019,8/25/2019,2019,9,-33,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.99 ,website,direct,direct,desktop,desktop,IL,EMEA
99af8f03,008eab8ad4a64990,9/15/2020,9/15/2020,8/7/2020,2020,9,-39,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,US,NA
634fb356,0092f3f12b143001,6/4/2020,6/4/2020,4/26/2020,2020,6,-39,Nintendo Switch,Nintendo Switch,8d0d,$142.80 ,website,direct,direct,desktop,desktop,US,NA
e0154ee5,0097a73104894748,9/25/2020,9/25/2020,8/15/2020,2020,9,-41,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
64a4a80c,009974bf84f43531,9/19/2020,9/19/2020,6/29/2020,2020,9,-82,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,BR,LATAM
64a4a80c,009974bf84f43532,9/19/2020,9/19/2020,6/18/2020,2020,9,-93,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,BR,LATAM
9d21a9e5,009e134dbfe66439,9/15/2019,9/15/2019,7/8/2019,2019,9,-69,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,US,NA
e57a0a97,00a42f4219d96941,4/20/2020,4/20/2020,4/12/2020,2020,4,-8,Nintendo Switch,Nintendo Switch,8e5d,$161.64 ,mobile app,email,email,mobile,mobile,FR,EMEA
0e6f746e,00a699348aa8944,3/29/2020,3/29/2020,2/12/2020,2020,3,-46,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.06 ,website,direct,direct,desktop,desktop,GB,EMEA
f9146908,00b512ca418105222,7/5/2020,7/5/2020,4/4/2020,2020,7,-92,Nintendo Switch,Nintendo Switch,8d0d,$129.63 ,website,direct,direct,desktop,desktop,ES,EMEA
09018b2b,00bc5a48b456724,5/5/2020,5/5/2020,4/28/2020,2020,5,-7,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,email,email,mobile,mobile,US,NA
f0fbb10a,00bdb7840ac101863,12/13/2020,12/13/2020,8/26/2020,2020,12,-109,Nintendo Switch,Nintendo Switch,e682,$181.02 ,website,direct,direct,desktop,desktop,GB,EMEA
e89caee7,00bde52c76d98228,7/13/2020,7/13/2020,6/26/2020,2020,7,-17,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
9f46220f,00c862ab35d67337,10/12/2020,10/12/2020,9/2/2020,2020,10,-40,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,email,email,desktop,desktop,US,NA
ac27bd8b,00cb82187c772953,12/18/2020,12/18/2020,11/4/2020,2020,12,-44,Nintendo Switch,Nintendo Switch,8d0d,$149.36 ,website,direct,direct,desktop,desktop,PL,EMEA
ac27bd8b,00cb82187c772955,12/18/2020,12/18/2020,10/30/2020,2020,12,-49,Nintendo Switch,Nintendo Switch,8d0d,$149.36 ,website,direct,direct,desktop,desktop,PL,EMEA
39537b46,00d48fb840f26192,3/31/2019,3/31/2019,3/6/2019,2019,3,-25,Sony PlayStation 5 Bundle,Sony PlayStation 5 Bundle,54ed,"$1,280.13 ",website,direct,direct,desktop,desktop,DK,EMEA
d3bc266b,00d9d5c0cb989399,11/23/2019,11/23/2019,10/11/2019,2019,11,-43,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,email,email,mobile,mobile,US,NA
d3bc266b,00d9d5c0cb989400,11/23/2019,11/23/2019,9/5/2019,2019,11,-79,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,email,email,mobile,mobile,US,NA
ac4a35e7,00d9ddde0f472990,4/24/2020,4/24/2020,3/27/2020,2020,4,-28,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,US,NA
d9c07c28,00de368919c91978,9/23/2020,9/23/2020,5/5/2020,2020,9,-141,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,8315,$23.26 ,mobile app,direct,direct,desktop,desktop,US,NA
d3fa4c85,00df5117a6889483,11/20/2020,11/20/2020,10/21/2020,2020,11,-30,27in 4K gaming monitor,27in 4K gaming monitor,e7e6,$439.20 ,website,direct,direct,desktop,desktop,FR,EMEA
a51faa7f,00e08d40d7469918,7/9/2020,7/9/2020,4/27/2020,2020,7,-73,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,AR,LATAM
8f9aed61,00ec0cc704660970,6/5/2019,6/5/2019,6/4/2019,2019,6,-1,Nintendo Switch,Nintendo Switch,8d0d,$134.70 ,website,direct,direct,desktop,desktop,CH,EMEA
1ce8cd34,00ed094f87014811,8/25/2020,8/25/2020,5/21/2020,2020,8,-96,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
decd0261,00ee5ee189c94165,4/29/2020,4/29/2020,2/17/2020,2020,4,-72,Nintendo Switch,Nintendo Switch,8d0d,$129.27 ,website,direct,direct,desktop,desktop,AU,APAC
4db5dd8c,00f15ae835b34521,2/20/2020,2/20/2020,12/5/2019,2020,2,-77,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,US,NA
8b195040,00f26815f6b59102,8/9/2020,8/9/2020,4/14/2020,2020,8,-117,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,social media,social media,tablet,tablet,US,NA
0f7782c4,00f6e1447189376,9/21/2020,9/21/2020,6/26/2020,2020,9,-87,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,CL,LATAM
1af9c7de,00f7a74196313980,7/16/2019,7/16/2019,5/30/2019,2019,7,-47,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,US,NA
d8844c3d,00f7ede0e9591467,4/28/2020,4/28/2020,2/11/2020,2020,4,-77,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,RO,EMEA
d89ecd98,00fb616915f91518,8/7/2020,8/7/2020,5/7/2020,2020,8,-92,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,VN,APAC
771f93ec,00fc0753e6f51019,12/27/2020,12/27/2020,9/17/2020,2020,12,-101,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,JM,NA
6c25c271,00fe3d4867f46669,8/18/2020,8/18/2020,6/25/2020,2020,8,-54,Nintendo Switch,Nintendo Switch,e682,$147.59 ,website,direct,direct,desktop,desktop,KR,APAC
6c25c271,00fe3d4867f46670,8/18/2020,8/18/2020,7/29/2020,2020,8,-20,Nintendo Switch,Nintendo Switch,e682,$147.59 ,website,direct,direct,desktop,desktop,KR,APAC
14934774,01015969b42424,12/27/2020,12/27/2020,8/14/2020,2020,12,-135,Nintendo Switch,Nintendo Switch,e682,$153.88 ,website,direct,direct,desktop,desktop,AU,APAC
f4359879,0103f8010c1103224,7/22/2019,7/22/2019,4/10/2019,2019,7,-103,Nintendo Switch,Nintendo Switch,8d0d,$186.56 ,website,direct,direct,desktop,desktop,IL,EMEA
34918d84,010479a65fb24299,12/17/2020,12/17/2020,11/19/2020,2020,12,-28,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,US,NA
05dc958a,010800e77805514,6/25/2020,6/25/2020,6/6/2020,2020,6,-19,Nintendo Switch,Nintendo Switch,e682,$136.25 ,website,email,email,mobile,mobile,AU,APAC
34706fc2,010d124585e24253,12/22/2020,12/22/2020,10/24/2020,2020,12,-59,27in 4K gaming monitor,27in 4K gaming monitor,e7e6,$480.00 ,website,email,email,desktop,desktop,US,NA
de2c5271,010d19387f693888,9/20/2020,9/20/2020,7/20/2020,2020,9,-62,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$23.03 ,website,direct,direct,desktop,desktop,DE,EMEA
de2c5271,010d19387f693889,9/20/2020,9/20/2020,7/23/2020,2020,9,-59,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$23.03 ,website,direct,direct,desktop,desktop,DE,EMEA
9dc3f2a2,010d2ebc3c966689,11/17/2020,11/17/2020,10/20/2020,2020,11,-28,Nintendo Switch,Nintendo Switch,e682,$179.22 ,website,direct,direct,desktop,desktop,GB,EMEA
d2d7219f,010d4eb3e9c88990,11/3/2020,11/3/2020,10/16/2020,2020,11,-18,27in 4K gaming monitor,27in 4K gaming monitor,e7e6,$480.00 ,website,direct,direct,desktop,desktop,US,NA
7396c7e8,01100fc69e949628,9/16/2020,9/16/2020,8/31/2020,2020,9,-16,Nintendo Switch,Nintendo Switch,e682,$152.83 ,website,direct,direct,desktop,desktop,KR,APAC
6eee6248,01109e7002147835,6/20/2020,6/20/2020,6/20/2020,2020,6,0,Nintendo Switch,Nintendo Switch,8d0d,$152.51 ,website,direct,direct,desktop,desktop,FR,EMEA
2.86E+30,0113581919b2869,2/12/2020,2/12/2020,12/21/2019,2020,2,-53,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,US,NA
ef0df8dc,01155ceb6d3101006,9/6/2020,9/6/2020,8/26/2020,2020,9,-11,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
5438b3b6,011ca48484737099,4/3/2019,4/3/2019,3/27/2019,2019,4,-7,Nintendo Switch,Nintendo Switch,8d0d,$134.70 ,website,direct,direct,desktop,desktop,CH,EMEA
bddb2688,01240b0addd80379,11/6/2020,11/6/2020,7/9/2020,2020,11,-120,Dell Gaming Mouse,Dell Gaming Mouse,f81e,$50.09 ,mobile app,email,email,desktop,desktop,IN,APAC
a60e8c9e,012d170c73670354,9/5/2020,9/5/2020,5/31/2020,2020,9,-97,Dell Gaming Mouse,Dell Gaming Mouse,5142,$49.98 ,mobile app,email,email,desktop,desktop,US,NA
a60e8c9e,012d170c73670355,9/5/2020,9/5/2020,5/19/2020,2020,9,-109,Dell Gaming Mouse,Dell Gaming Mouse,5142,$49.98 ,mobile app,email,email,desktop,desktop,US,NA
a60e8c9e,012d170c73670356,9/5/2020,9/5/2020,6/17/2020,2020,9,-80,Dell Gaming Mouse,Dell Gaming Mouse,5142,$49.98 ,mobile app,email,email,desktop,desktop,US,NA
3f6a2d44,0130063ced728738,12/17/2019,12/17/2019,8/28/2019,2019,12,-111,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
2307420b,0132f9e05c117182,6/6/2020,6/6/2020,5/12/2020,2020,6,-25,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,US,NA
f84a6a06,013efdef6f5104898,9/17/2019,9/17/2019,7/22/2019,2019,9,-57,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
a6849c66,013fb8a0d7e70570,11/13/2020,11/13/2020,10/13/2020,2020,11,-31,27in 4K gaming monitor,27in 4K gaming monitor,891b,$449.40 ,website,direct,direct,desktop,desktop,DK,EMEA
994ab136,01454de09e164831,1/20/2020,1/20/2020,12/14/2019,2020,1,-37,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,US,NA
3352f4f3,014757c4fef23832,5/2/2020,5/2/2020,12/6/2019,2020,5,-148,27in 4K gaming monitor,27in 4K gaming monitor,891b,$384.00 ,website,direct,direct,desktop,desktop,US,NA
55b7dbdf,0148a5cc8a337680,12/22/2020,12/22/2020,12/16/2020,2020,12,-6,Nintendo Switch,Nintendo Switch,e682,$143.02 ,website,direct,direct,desktop,desktop,PL,EMEA
672be6d5,014a46022b444563,6/3/2020,6/3/2020,2/4/2020,2020,6,-120,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.88 ,website,email,email,mobile,mobile,GB,EMEA
c8766580,015171a728384757,7/30/2020,7/30/2020,3/10/2020,2020,7,-142,Nintendo Switch,Nintendo Switch,8e5d,$161.78 ,mobile app,email,email,mobile,mobile,IT,EMEA
f9b43d7c,015337783af105484,12/2/2019,12/2/2019,7/22/2019,2019,12,-133,Nintendo Switch,Nintendo Switch,e682,$149.70 ,website,direct,direct,desktop,desktop,DE,EMEA
e277825c,0153766fdfa95672,9/8/2020,9/8/2020,7/4/2020,2020,9,-66,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,US,NA
83453728,01562d852912206,12/7/2020,12/7/2020,11/18/2020,2020,12,-19,Nintendo Switch,Nintendo Switch,e682,$144.17 ,website,direct,direct,desktop,desktop,AU,APAC
344a615d,0157cb3b87924203,9/10/2020,9/10/2020,6/7/2020,2020,9,-95,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
344a615d,0157cb3b87924205,9/10/2020,9/10/2020,9/7/2020,2020,9,-3,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
08e4bdbb,015be60c5e96663,12/21/2020,12/21/2020,10/21/2020,2020,12,-61,27in 4K gaming monitor,27in 4K gaming monitor,e7e6,$480.00 ,website,direct,direct,desktop,desktop,US,NA
f42da604,0160b5ee5de103211,2/27/2020,2/27/2020,2/12/2020,2020,2,-15,Acer Nitro V Gaming Laptop,Acer Nitro V Gaming Laptop,22ea,$798.00 ,website,direct,direct,desktop,desktop,US,NA
64e1dd19,0164bd6b79e43617,12/23/2020,12/23/2020,12/18/2020,2020,12,-5,Nintendo Switch,Nintendo Switch,e682,$184.90 ,website,direct,direct,desktop,desktop,GB,EMEA
0d2a4881,0165295a5888413,4/6/2019,4/6/2019,2/6/2019,2019,4,-59,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,BB,NA
cc617886,01666da31fe86332,8/10/2020,8/10/2020,5/15/2020,2020,8,-87,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,RO,EMEA
e8d19822,016f944514a98331,11/14/2020,11/14/2020,11/11/2020,2020,11,-3,Nintendo Switch,Nintendo Switch,8d0d,$126.00 ,website,direct,direct,desktop,desktop,UA,EMEA
be40951c,0179d78928080528,12/31/2020,12/31/2020,11/28/2020,2020,12,-33,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,IN,APAC
d53cf7be,017ceab282490002,9/26/2020,9/26/2020,8/24/2020,2020,9,-33,27in 4K gaming monitor,27in 4K gaming monitor,891b,$471.28 ,website,email,email,desktop,desktop,US,NA
d9c130fc,01910d25e6f91979,6/3/2019,6/3/2019,4/2/2019,2019,6,-62,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,direct,direct,desktop,desktop,US,NA
846d7b4d,01966e496ad56332,8/29/2020,8/29/2020,4/10/2020,2020,8,-141,Nintendo Switch,Nintendo Switch,8d0d,$177.11 ,website,direct,direct,desktop,desktop,GB,EMEA
5902d225,019d534de7438940,8/26/2019,8/26/2019,4/20/2019,2019,8,-128,Nintendo Switch,Nintendo Switch,8d0d,$155.69 ,website,direct,direct,desktop,desktop,JP,APAC
324c4715,019ea1edd9f23424,9/13/2019,9/13/2019,7/27/2019,2019,9,-48,Nintendo Switch,Nintendo Switch,8d0d,$140.56 ,website,direct,direct,desktop,desktop,GB,EMEA
15827421,019edaa8cc8450,7/31/2020,7/31/2020,6/21/2020,2020,7,-40,27in 4K gaming monitor,27in 4K gaming monitor,891b,$408.00 ,website,direct,direct,desktop,desktop,US,NA
5eae1b73,01a250384bb41265,11/2/2020,11/2/2020,7/8/2020,2020,11,-117,Nintendo Switch,Nintendo Switch,8e5d,$162.88 ,mobile app,direct,direct,desktop,desktop,NO,EMEA
389f8fbf,01a7b9084cf25922,12/20/2020,12/20/2020,10/4/2020,2020,12,-77,27in 4K gaming monitor,27in 4K gaming monitor,891b,$265.20 ,website,direct,direct,desktop,desktop,GB,EMEA
389f8fbf,01a7b9084cf25923,12/20/2020,12/20/2020,9/18/2020,2020,12,-93,27in 4K gaming monitor,27in 4K gaming monitor,891b,$265.20 ,website,direct,direct,desktop,desktop,GB,EMEA
9a2ce293,01a835d3d4e65182,10/4/2020,10/4/2020,9/3/2020,2020,10,-31,Lenovo IdeaPad Gaming 3,Lenovo IdeaPad Gaming 3,9ef0,"$1,198.00 ",website,direct,direct,desktop,desktop,US,NA
5a9f3dec,01b1eda6ce639613,8/22/2020,8/22/2020,6/3/2020,2020,8,-80,27in 4K gaming monitor,27in 4K gaming monitor,e7e6,$480.00 ,website,direct,direct,desktop,desktop,BR,LATAM
df45ed89,01bbdc23a9094367,8/28/2020,8/28/2020,4/2/2020,2020,8,-148,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,ab0f,$24.00 ,website,direct,direct,desktop,desktop,HU,EMEA
f5eb05f2,01be0d0748c103896,3/14/2020,3/14/2020,12/22/2019,2020,3,-83,JBL Quantum 100 Gaming Headset,JBL Quantum 100 Gaming Headset,8315,$23.38 ,mobile app,direct,direct,desktop,desktop,US,NA
1b0b846e,01c23f26e6814007,3/21/2020,3/21/2020,3/9/2020,2020,3,-12,27in 4K gaming monitor,27in 4K gaming monitor,891b,$480.00 ,website,direct,direct,desktop,desktop,US,NA
cc167bcc,01c90a2887386232,5/16/2020,5/16/2020,5/8/2020,2020,5,-8,Dell Gaming Mouse,Dell Gaming Mouse,0c5a,$46.58 ,mobile app,direct,direct,desktop,desktop,GB,EMEA
72163ca9,01cdb62275349023,8/23/2020,8/23/2020,7/25/2020,2020,8,-29,Nintendo Switch,Nintendo Switch,e682,$168.00 ,website,direct,direct,desktop,desktop,US,NA
913e52a3,01d2109390161577,10/30/2019,10/30/2019,8/24/2019,2019,10,-67,Nintendo Switch,Nintendo Switch,8d0d,$150.52 ,website,direct,direct,desktop,desktop,CA,NA
28803a37,01d2d38627219374,6/19/2019,6/19/2019,2/9/2019,2019,6,-130,Nintendo Switch,Nintendo Switch,8d0d,$168.00 ,website,affiliate,affiliate,unknown,unknown,US,NA
